,CODST,CMR,JU,CODGE,NUME,Autonoma,Lat,Lon,Z,X,Y,Rugozitate,cr
83,15280,Muntenia,PH,527527,Vf. Omu,0,45.4458,25.4567,2504,535867.9046,438522.6871,0.005,1
98,15317,Banat-Crisana,CS,515231,Tarcu,0,45.281,22.5327,2180,306612.8977,423099.2494,0.03,1
82,15279,TransilvaniaS,SB,536437,Balea Lac,0,45.6039,24.6147,2070,470098.634,456065.1716,0.03,1
21,15088,Moldova,SV,706515,Calimani,0,47.0979,25.2462,2022,518832.2773,622048.7665,0.03,1
27,15108,Moldova,NT,656555,Ceahlau Toaca,0,46.9775,25.9499,1897,572407.5613,609072.4161,0.75,1
33,15119,TransilvaniaN,CJ,646247,Vladeasa 1800,0,46.7592,22.7942,1836,331684.5045,586735.1679,0.03,1
10,15033,TransilvaniaN,MM,737439,Iezer,0,47.6026,24.649,1785,473758.6851,678174.9248,0.03,1
77,15262,TransilvaniaS,CV,551621,Lacauti,0,45.8239,26.3755,1776,607010.4979,481361.836,0.6,1
84,15284,Muntenia,BZ,536625,Penteleu,0,45.6027,26.4098,1632,610109.2508,456825.0829,0.75,1
113,15343,Oltenia,VL,515356,Horezu 1550,1,45.2553,23.9481,1555.47,417589.6333,417794.7841,0.03,0
100,15320,Oltenia,HD,523328,Parang,0,45.3874,23.4631,1548,379811.0643,433087.7382,0.03,1
102,15325,Muntenia,PH,523530,Sinaia 1500,0,45.355,25.5142,1510,540429.9406,428458.2828,0.75,1
97,15316,Banat-Crisana,CS,518231,Cuntu,0,45.3005,22.5015,1456,304231.2319,425338.9036,0.03,1
74,15254,TransilvaniaS,SB,539357,Paltinis,0,45.6571,23.9324,1453,416961.2819,462460.9253,0.75,1
96,15315,Banat-Crisana,CS,507158,Semenic,0,45.1814,22.0558,1432,268803.669,413302.3221,0.03,1
91,15301,Muntenia,BV,528518,Fundata,0,45.4315,25.2715,1384,521391.2431,436865.1101,0.03,1
48,15163,TransilvaniaN,CJ,634322,Baisoara,0,46.5355,23.3102,1360,370560.1614,560894.8874,0.75,1
89,15297,Oltenia,VL,526338,Obarsia Lotrului,1,45.4355,23.6308,1348,393038.2295,438191.6483,0.75,1
43,15148,TransilvaniaS,HR,639518,Bucin,0,46.649,25.2965,1282,522839.8825,572169.483,0.03,1
54,15184,TransilvaniaS,AB,619308,Rosia Montana,0,46.3176,23.139,1196,356863.6896,536980.8171,0.75,1
32,15118,Banat-Crisana,BH,641237,Stana de Vale,0,46.6898,22.6234,1108,318409.7815,579399.2581,0.5,1
92,15302,Muntenia,BV,530535,Predeal,0,45.5063,25.5835,1090,545737.7288,445309.0062,0.5,1
16,15069,Moldova,SV,719507,Poiana Stampei,0,47.3246,25.1344,923,510308.6224,647231.2427,0.5,1
85,15285,Muntenia,BZ,533642,Bisoca,0,45.5489,26.7103,850,633674.3981,451310.5298,0.03,1
38,15127,TransilvaniaS,HR,642540,Joseni,0,46.7057,25.5126,750,539334.3936,578559.2427,0.5,1
